aspect,description,sentiment
machine,horrible,-1.0
clash,annoying,-0.8
need,familiar,0.375
cost,standard,0.0
address,graphic,0.0
cod,good,0.7
fuck,little,-0.1875
supper,armed,0.0
storm,little,-0.1875
daytime,bare,0.05
ass,little,-0.1875
comment,fucking,-0.6
hate,guilty,-0.5
player,tactic,0.0
campaign,traditional,0.0
drop,often frequent,0.1
release,mediocre,-0.5
fix,really good,0.7
map,horrible,-1.0
fix,next,0.0
issue,perfectly fine,0.4166666666666667
match,drunk,-0.5
part,many,0.5
player,single,-0.07142857142857142
state,current,0.0
respawn,next,0.0
run,paralyzed,0.0
world,real,0.2
none,online,0.0
stability,really bad,-0.6999999999999998
art,graphic,0.0
gun,tired,-0.4
mention,awful,-1.0
map,overall,0.0
couple,excellent,1.0
rate,previous,-0.16666666666666666
life,bad,-0.6999999999999998
event,previous,-0.16666666666666666
assist,absolute,0.2
crash,unplayable,-0.4
multiplayer,weird,-0.5
bug,weird,-0.5
map,small,-0.25
thing,menusome,0.0
experience,negative,-0.3
supper,whole,0.2
activision,legal,0.2
people,funny,0.25
boy,awesome,1.0
sucks,awesome,1.0
repeat,absolutely beautiful,0.85
people,dramatic,-0.4333333333333333
range,perfect,1.0
people,well least,-0.3
animation,least happy,0.25
desiredgun,comfortable,0.4
love,favorite,0.5
brokenlevele,nice,0.6
sbr209,bad,-0.6999999999999998
santa,effective,0.6
invasion,laughable,-0.5
abbot,reap,0.0
sake,perfectly fine,0.4166666666666667
scene,regular,0.0
style,new,0.13636363636363635
controller,next,0.0
resolve,negative,-0.3
gun,good,0.7
release,close,0.0
gun,unique,0.375
story,great,0.8
level,less traditional,-0.08333333333333333
mode,warne,0.0
work,unacceptable,0.0
computer,low,0.0
skin,complete,0.1
cod,old,0.1
cod,really happy,0.8
request,due,-0.125
cod,mental,-0.1
bag,normal,0.15
cause,serious,-0.3333333333333333
fun,overall ready,0.1
time,new,0.13636363636363635
luck,good,0.7
crashing,constant,0.0
people,real,0.2
pity,short,0.0
multiplayer,previous,-0.16666666666666666
map,old,0.1
tone,hard,-0.2916666666666667
mission,complete,0.1
update,worth,0.3
sweat,fucking,-0.6
shit,sort toxic,0.0
buy,decent,0.16666666666666666
chance,early,0.1
hope,next,0.0
line,major,0.0625
flash,great,0.8
suffer,great,0.8
soul,free,0.4
recommend,annoying,-0.8
survival,big,0.0
voice,offensive,0.0
luck,gay,0.4166666666666667
refund,spend,0.0
cod,new,0.13636363636363635
launch,completely new,0.13636363636363635
patch,great,0.8
gun,fantastic,0.4
level,quick,0.3333333333333333
supper,red,0.0
shit,good,0.7
issue,many,0.5
crashing,incredibly,0.9
company,unfinished,0.0
continuation,definitely well cold,-0.3
guard,dear,0.0
game,terrible,-1.0
joke,easy,0.43333333333333335
use,back old,0.05
hit,clash,0.0
course,first,0.25
problem,great,0.8
campaign,modern,0.2
hack,good,0.7
mechanic,terrible,-1.0
thing,able,0.5
people,right,0.2857142857142857
progress,bluescreene,0.0
opinion,old,0.1
clash,driversupdate,0.0
campaign,start,0.0
driver,wrong,-0.5
launch,false,-0.4000000000000001
mission,original,0.375
player,good,0.7
battle,old,0.1
wrist,current,0.0
sandstone,competitive,0.0
map,bad,-0.6999999999999998
cod,funny,0.25
fun,bad,-0.6999999999999998
gameplay,bad,-0.6999999999999998
multiplayer,next,0.0
gun,good,0.7
anna,crazy,-0.6
minute,low,0.0
campaign,select,0.0
ignore,new,0.13636363636363635
world,toxic,0.0
version,anymore bad,-0.6999999999999998
people,itchy,0.0
thing,bad,-0.6999999999999998
mission,resect,0.0
build,high,0.16
reason,less,-0.16666666666666666
cap,flat,-0.025
weapon,sound,0.4
dog,pure,0.21428571428571427
update,unplayable,-0.4
player,close,0.0
run,well,0.0
wall,constant,0.0
gun,different,0.0
problem,still massive,0.0
law,unplayable,-0.4
shit,constant,0.0
mess,even expensive,-0.5
shit,new,0.13636363636363635
crash,right,0.2857142857142857
review,true,0.35
player,nice,0.6
map,balanced,0.0
banking,quick,0.3333333333333333
judge,rewarding,0.5
afford,whole,0.2
flag,american,0.0
offering,next,0.0
game,kill,0.0
beta,old,0.1
clash,able,0.5
friend,bad,-0.6999999999999998
work,half,-0.16666666666666666
fun,good,0.7
amount,tolerable,0.0
mission,whole,0.2
mio,pretty good,0.475
couple,essentially automatic,0.0
map,super,0.3333333333333333
mission,even payable,0.0
multiplayer,bad,-0.6999999999999998
rag,instant,0.0
insane,next,0.0
series,typical,-0.16666666666666666
mind,top,0.5
suck,fucking,-0.6
onion,large,0.21428571428571427
turn,opaque,0.0
rice,green,-0.2
reference,low,0.0
slum,full,0.35
fact,even hilarious,0.5
map,cheap,0.4
penalize,confusing,-0.3
duty,bad,-0.6999999999999998
give,bad,-0.6999999999999998
system,useless,-0.5
problem,common,-0.3
dollar,private,0.0
people,sweet,0.35
people,graphic,0.0
multiplayer,fun,0.3
ballot,less,-0.16666666666666666
frspoiler,good,0.7
shit,beta,0.0
ass,real,0.2
file,constantly unplayable,-0.4
fix,small,-0.25
moment,first,0.25
screen,dead,-0.2
feature,previous,-0.16666666666666666
blast,warne,0.0
player,ridiculous,-0.3333333333333333
change,wild,0.1
story,outstanding,0.5
question,first,0.25
people,medium,0.0
company,comical,0.5
workaround,future,0.0
pack,essentially mobile,0.0
chance,first,0.25
work,top,0.5
system,also awesome,1.0
support,big,0.0
rumour,sad,-0.5
company,awful,-1.0
break,muddy,0.0
player,modern,0.2
system,much,0.2
expectation,even low,0.0
installment,easy,0.43333333333333335
story,real,0.2
dialogue,natural,0.1
ghost,amazing,0.6000000000000001
plan,strong,0.4333333333333333
mess,overall,0.0
juice,big,0.0
optimism,embarrassing,0.0
driver,previous,-0.16666666666666666
developer,quick,0.3333333333333333
texture,decent,0.16666666666666666
fix,single,-0.07142857142857142
computer,stable,0.0
screen,well unlucky,0.0
voice,bullshit,0.0
battle,initial,0.0
gun,real,0.2
campaign,modern,0.2
mission,enough bad,-0.3499999999999999
mission,chief,0.0
trilogy,least,-0.3
player,toxic,0.0
review,navigable,0.0
part,wide,-0.1
crossing,pretty enjoyable,0.375
feature,good,0.7
cap,advanced,0.4
want,good,0.7
freeze,random,-0.5
ground,american,0.0
gun,viable,0.0
king,good,0.7
performance,beg,0.0
claim,negative,-0.3
give,single,-0.07142857142857142
people,possibly even corrupt,-0.25
run,much,0.2
warfare,exhilarate,0.0
gun,nice,0.6
map,average,-0.15
player,graphic,0.0
banner,good,0.7
client,suspicious,0.0
people,false,-0.4000000000000001
bank,new,0.13636363636363635
campaign,hard,-0.2916666666666667
mode,different,0.0
mode,awesome,1.0
issue,positive,0.22727272727272727
repeat,run,0.0
anticheat,full,0.35
cod,nostalgic,-0.5
review,currently available,0.4
connection,good,0.7
70usd,technical,0.0
artifacte,wholescreen,0.0
duty,good,0.7
video,whole,0.2
printsany,lobbiessavable,0.0
player,clear,0.10000000000000002
map,big,0.0
copy,big,0.0
pace,obvious,0.0
layout,terrible,-1.0
incendiary,barely personal,0.0
attempt,full,0.35
system,amazing,0.6000000000000001
threat,good,0.7
state,frequent,0.1
file,much,0.2
gun,poor,-0.4
campaign,great,0.8
date,good,0.7
give,probably bad,-0.6999999999999998
player,close,0.0
inability,big,0.0
choice,limited,-0.07142857142857142
activision,negative,-0.3
title,numerous,0.0
operator,surprisingly lacklustre,0.7
access,early,0.1
fancy,dedicated,0.0
point,second,0.0
mission,stealth,0.0
developer,stealth,0.0
effect,good,0.7
mode,interested,0.25
rampart,unplayable,-0.4
pace,good,0.7
fas,new,0.13636363636363635
grind,really bad,-0.6999999999999998
boy,great,0.8
camp,good,0.7
map,short,0.0
experience,bad,-0.6999999999999998
cyberpunk,unfinished,0.0
end,clearly innocent,0.5
player,dead,-0.2
multiplayer,so actually too good,0.35
level,good,0.7
menu,confusing,-0.3
segment,often careful,-0.1
reason,double,0.0
clock,blue,0.0
weapon,whole,0.2
setting,double,0.0
grind,specific,0.0
game,australian,0.0
multiplayer,good,0.7
want,dead,-0.2
story,first,0.25
pitch,visual,0.0
player,awesome,1.0
thing,damn,0.0
op,top,0.5
beta,compare,0.0
movement,much well fast,0.2
gun,pretty damn good,0.475
play,mostly good,0.7
mode,excited,0.375
multiplayer,old,0.1
ward,solid,0.0
warne,less,-0.16666666666666666
divorce,fun,0.3
clash,fine,0.4166666666666667
weapon,impossible,-0.6666666666666666
gun,big,0.0
fun,stressed,0.0
packer,many,0.5
brain,bad,-0.6999999999999998
game,free,0.4
grind,past,-0.25
people,single,-0.07142857142857142
franchise,variant,0.0
year,expensive,-0.5
game,expensive,-0.5
grab,high,0.16
people,possible,0.0
version,refined,0.0
stitch,many,0.5
customisation,bad,-0.6999999999999998
army,old,0.1
build,lackluster,0.0
fun,good,0.7
ward,low,0.0
mind,last,0.0
time,good,0.7
array,vast,0.0
people,good,0.7
hawker,different,0.0
community,whole,0.2
multiplayer,high,0.16
crash,bad,-0.6999999999999998
crack,quick,0.3333333333333333
duty,fast,0.2
give,stupid,-0.7999999999999999
map,constant,0.0
shield,also insanely annoying,-0.8
review,annoying,-0.8
map,stale,-0.5
price,fair,0.7
fix,safe,0.5
player,small,-0.25
multiplayer,overall worth,0.15
sort,good,0.7
game,bad,-0.6999999999999998
team,awful,-1.0
work,kind,0.6
balance,pro,0.0
notch,top,0.5
survival,proper,0.0
style,objective,0.0
fan,different,0.0
skill,old,0.1
program,lawless,0.0
software,random,-0.5
activision,multiple,0.0
mission,old,0.1
foot,constant,0.0
gunplay,technical,0.0
moment,barely payable,0.05
rifle,normal,0.15
temp,wrong,-0.5
community,casual,-0.5000000000000001
duty,enough,0.0
place,due,-0.125
shit,simple,0.0
camera,second,0.0
status,good,0.7
people,neat,0.0
campaign,graphic,0.0
issue,good,0.7
mode,competitive,0.0
beta,good,0.7
gamebreake,terrible,-1.0
voice,actually nice,0.6
launch,main,0.16666666666666666
0x69,unable,-0.5
segment,free,0.4
point,beat,0.0
campaign,whole,0.2
type,worth,0.3
give,good,0.7
story,main,0.16666666666666666
star,complete,0.1
person,right alone payable,0.2857142857142857
star,really easy,0.43333333333333335
mission,single,-0.07142857142857142
describe,good,0.7
time,fast,0.2
boy,fast,0.2
camping,rough,-0.1
favor,run,0.0
mechanic,funny,0.25
lot,old,0.1
fire,slow,-0.30000000000000004
fire,intense,0.2
game,warm,0.6
people,bad,-0.6999999999999998
launch,pretty bad,-0.22499999999999992
friend,other,-0.125
camp,short,0.0
mode,future,0.0
video,similar,0.0
player,loot,0.0
play,difficult,-0.5
consumer,far superior,0.39999999999999997
cod,unplayable,-0.4
aspect,ridiculous,-0.3333333333333333
law,general,0.05000000000000002
console,good,0.7
map,balanced,0.0
duty,good,0.7
fiend,online,0.0
match,local,0.0
file,whole,0.2
issue,negative,-0.3
team,crazy,-0.6
gun,fast,0.2
ink,nice,0.6
money,actual,0.0
warfare,advanced,0.4
match,public,0.0
bag,positive,0.22727272727272727
play,first,0.25
mechanic,great,0.8
movement,sluggish,0.0
list,graphic,0.0
release,really bad,-0.6999999999999998
course,little,-0.1875
pitch,bizarre,0.4
building,normal,0.15
update,excited,0.375
hope,however ridiculous,-0.3333333333333333
kind,ill,-0.5
camping,ungodly quick,0.3333333333333333
player,single,-0.07142857142857142
mode,select,0.0
mode,different,0.0
patch,valuable,0.0
system,pro,0.0
camp,previous,-0.16666666666666666
gun,mainly lately due,-0.125
thing,amusing,0.6
support,previous,-0.16666666666666666
game,full,0.35
conclusion,importantly fun,0.3
people,polish,0.0
warne,dark,-0.15
pawn,decent,0.16666666666666666
multiplayer,absolutely abysmal,0.2
irritate,mid,0.0
throw,imaginable,0.0
player,many,0.5
people,low,0.0
price,disappointed,-0.75
option,legal,0.2
controller,instant,0.0
point,random,-0.5
people,similar,0.0
multiplayer,new,0.13636363636363635
part,bad,-0.6999999999999998
hell,genuine,0.4
campaign,standard,0.0
annoying,really fun,0.3
crash,insane,-1.0
gameplay,less,-0.16666666666666666
game,odd,-0.16666666666666666
mission,second,0.0
garage,high,0.16
people,online angry,-0.5
crash,constant,0.0
play,annoying,-0.8
guess,much,0.2
year,ill,-0.5
team,burgher,0.0
love,many,0.5
madame,random,-0.5
customization,random,-0.5
half,major,0.0625
money,worth,0.3
shit,good,0.7
launch,willing,0.25
gun,different,0.0
force,stuck,0.0
crash,good,0.7
gameplay,rear,0.0
people,good,0.7
match,bad,-0.6999999999999998
friend,mid,0.0
fact,least,-0.3
activist,potential,0.0
cutscene,total,0.0
cheat,strong,0.4333333333333333
people,old,0.1
computer,instal,0.0
account,see,0.0
wife,good,0.7
hour,updated,0.0
cod,last,0.0
design,long,-0.05
battlefield,really hilarious,0.5
rest,due,-0.125
life,totally worth,0.3
sale,happy,0.8
part,good,0.7
shit,holy,0.0
change,kind neat,0.6
player,able,0.5
action,insane,-1.0
steam,disconnect,0.0
thing,stupid,-0.7999999999999999
king,low,0.0
match,entire,0.0
progress,same,0.0
people,dynamic,0.0
reason,itchy,0.0
heard,modern,0.2
cord,bad,-0.6999999999999998
wonderfulmultiplayer,whole,0.2
use,pro,0.0
player,average,-0.15
loop,wise,0.7
destiny,fast,0.2
play,least,-0.3
progress,least,-0.3
people,fast,0.2
mind,much,0.2
people,special,0.35714285714285715
stroll,different,0.0
addition,decent,0.16666666666666666
copy,long,-0.05
type,solid,0.0
clash,especially good,1.0
weapon,single,-0.07142857142857142
video,blue,0.0
life,true,0.35
review,bad,-0.6999999999999998
people,miss,0.0
people,different,0.0
ball,worth,0.3
fun,good,0.7
day,multiple,0.0
playstyle,straight,0.2
break,graphic,0.0
team,great,0.8
people,fun,0.3
score,good,0.7
redownloade,old,0.1
map,bad,-0.6999999999999998
fuck,little,-0.1875
supper,armed,0.0
storm,little,-0.1875
daytime,bare,0.05
ass,little,-0.1875
comment,fucking,-0.6
clash,great,0.8
steam,ill,-0.5
progression,good,0.7
system,tedious,-0.5
sense,boring,-1.0
thing,right,0.2857142857142857
scrape,saturate,0.0
biscuit,terrible,-1.0
player,absolutely absurd,-0.5
dollar,personally rank,-0.8
needless,ill,-0.5
movement,well already cellar,0.0
option,vast,0.0
technology,different,0.0
story,strong,0.4333333333333333
thing,interesting,0.5
multiplayer,also bad,-0.6999999999999998
play,far bad,-0.29999999999999993
force,terrorist,0.0
ward,sixth,0.0
crosshair,free,0.4
hunt,absolute,0.2
people,hot,0.25
timestop,bad,-0.6999999999999998
start,inconsistent,0.0
marksmansniper,nasty,-1.0
style,nasty,-1.0
smoke,competitive,0.0
vice,armed,0.0
remove,good,0.7
perksnow,less,-0.16666666666666666
team,great,0.8
vehicle,probably much,0.2
see,rid,0.0
stop,open,0.0
order,unplayable,-0.4
issue,unplayable,-0.4
enemy,multiple,0.0
gun,good,0.7
wear,fairly good,0.7
deathmatch,horrible,-1.0
camping,almost useless,-0.5
game,stunning,0.5
difficulty,complete,0.1
time,available,0.4
mission,stealthily complete,0.1
achievement,last,0.0
class,extra,0.0
incentive,complete,0.1
gun,minimal,-0.1
level,minimal,-0.1
tree,minimal,-0.1
gun,annoying,-0.8
lock,different,0.0
camp,different,0.0
challenge,golden,0.3
gun,extremely satisfying,0.5
gun,good,0.7
kill,extremely fast,0.2
shield,front,0.0
soldier,old,0.1
classic,lovely,0.5
content,worth,0.3
warne,tarkovlike,0.0
fun,good,0.7
issue,real,0.2
movement,super boring,-0.33333333333333337
people,punish,0.0
claim,odd,-0.16666666666666666
silence,dead,-0.2
friend,top,0.5
issue,general,0.05000000000000002
fuck,even payable,0.0
mission,current,0.0
donna,old,0.1
series,bad,-0.6999999999999998
experience,mediocre,-0.5
thing,least,-0.3
player,huge,0.4000000000000001
computer,general,0.05000000000000002
gun,plenty,0.0
time,fucking,-0.6
kind,hard,-0.2916666666666667
multiplayer,solid,0.0
screen,frequently quite annoying,-0.35000000000000003
couple,okay,0.5
world,worth,0.3
need,rode,0.0
season,first,0.25
boot,damn,0.0
fun,good,0.7
fan,big,0.0
fun,obviously big,0.0
crossplatfrom,huge,0.4000000000000001
anxiety,entire,0.0
game,new,0.13636363636363635
supper,balanced,0.0
ward,private,0.0
people,single,-0.07142857142857142
people,seriously entire,0.0
ass,clash,0.0
seriesgame,right,0.2857142857142857
game,normal,0.15
turn,new,0.13636363636363635
move,genetic,0.0
cod,young,0.1
fact,gltichy,0.0
issue,incredibly toxic,0.9
use,fun,0.3
tell,good,0.7
gameplay,smart,0.21428571428571427
invasion,great,0.8
return,actually payable,0.0
experience,adhesive,0.0
friend,quick,0.3333333333333333
player,long,-0.05
title,quickly possible,0.0
account,polished,0.0
form,possible,0.0
multiplayer,awful,-1.0
point,cautious,0.0
friend,hobby,0.0
save,constant,0.0
liver,fine,0.4166666666666667
map,dead,-0.2
bore,least,-0.3
franchise,saddle,0.0
soap,funny,0.25
freeze,whole,0.2
drop,classic,0.16666666666666666
thing,much,0.2
fact,current,0.0
diamond,also complete,0.1
finish,complete,0.1
war,new,0.13636363636363635
chase,also enjoyable,0.5
ending,anticlimactic,0.0
friend,random,-0.5
multiplayer,warne,0.0
people,recent,0.0
clash,happy,0.8
u,old,0.1
progression,unlock,0.0
season,solid,0.0
time,third,0.0
map,slow,-0.30000000000000004
peak,slow,-0.30000000000000004
hawker,low,0.0
gun,hard,-0.2916666666666667
leveling,literal,0.0
year,soon worth,0.3
peak,dumb,-0.375
party,modern,0.2
people,right,0.2857142857142857
duty,bad,-0.6999999999999998
reason,less worth,0.06666666666666667
work,unvalidated,0.0
handgun,proper,0.0
break,unpolished,0.0
work,old,0.1
garage,really tired,-0.4
build,many,0.5
validity,fail,-0.5
kiss,advanced,0.4
people,muddy,0.0
part,least,-0.3
version,available,0.4
multiplayer,much,0.2
content,single,-0.07142857142857142
hawker,anti,0.0
point,free,0.4
people,balanced,0.0
catnip,almost much,0.2
duty,right,0.2857142857142857
activision,popular,0.6
streamer,fun,0.3
time,good,0.7
streamer,completely realistic,0.16666666666666666
wait,reasonable,0.2
waste,last,0.0
series,worth,0.3
dog,graphic,0.0
ass,much,0.2
confirm,free,0.4
system,fun,0.3
player,lower,0.0
campaign,cool,0.35
steam,early,0.1
love,key,0.0
banking,long,-0.05
camping,blank,0.0
clash,great,0.8
steam,super happy,0.5666666666666667
steam,literally close,0.0
patch,happy,0.8
experience,plentiful,0.0
give,first,0.25
side,pretty good,0.475
campaign,whole,0.2
system,somewhat fun,0.3
clash,annoying,-0.8
rating,different,0.0
thing,sure,0.5
map,constantly bad,-0.6999999999999998
integrity,favorite,0.5
campaign,bad,-0.6999999999999998
punish,full,0.35
squad,left,0.0
body,beta,0.0
match,worth,0.3
shooting,terrible,-1.0
u,behind due,-0.2625
map,bad,-0.6999999999999998
codsnot,recent,0.0
neuro,even worth,0.3
multiplayer,second,0.0
people,top,0.5
way,safe,0.5
ruin,casual,-0.5000000000000001
player,simply level,0.0
people,exciting,0.3
cord,good,0.7
campaign,really fun,0.3
weapon,decently balanced,0.16666666666666666
issue,right enjoyable,0.39285714285714285
damage,quick,0.3333333333333333
assumption,long,-0.05
give,bad,-0.6999999999999998
driver,enough,0.0
shit,next,0.0
people,bad,-0.6999999999999998
people,absolutely ridiculous,-0.3333333333333333
improvement,major,0.0625
speck,similar,0.0
setting,even low,0.0
thing,able,0.5
attachment,aggressive,0.0
bout,toxic,0.0
mode,new,0.13636363636363635
bullshit,stab,0.0
play,angry,-0.5
time,current,0.0
multiplayer,tactical,0.0
budget,bad,-0.6999999999999998
force,stuck,0.0
general,usual,-0.25
people,annoying,-0.8
problem,common,-0.3
people,sure,0.5
prestige,campaignseasonal,0.0
crashing,good,0.7
player,last,0.0
soul,free,0.4
recommend,annoying,-0.8
survival,big,0.0
fun,recent,0.0
return,old,0.1
emblem,good,0.7
release,good,0.7
thing,top,0.5
influence,casual,-0.5000000000000001
camping,old,0.1
movement,slow,-0.30000000000000004
chaos,friendly,0.375
team,fine,0.4166666666666667
gun,able,0.5
cod,pretty terrible,-0.375
file,unburned,0.0
problem,major,0.0625
lot,full,0.35
scene,unique,0.375
people,nice,0.6
map,bad,-0.6999999999999998
fix,ill,-0.5
place,incomplete,0.0
fuck,potential,0.0
fun,fiver,0.0
system,good,0.7
watch,little,-0.1875
direction,many,0.5
launch,present,0.0
people,sometimes sound,0.4
people,perfect,1.0
attachment,stupid,-0.7999999999999999
point,damn,0.0
start,ill,-0.5
op,black,-0.16666666666666666
fun,first,0.25
corner,bad,-0.6999999999999998
feel,great,0.8
fix,friendly,0.375
fix,actual,0.0
people,modern,0.2
kind,combattactical,0.0
game,modern,0.2
hunter,common,-0.3
gameplay,overall,0.0
crashing,constant,0.0
aspect,quick,0.3333333333333333
love,good,0.7
refund,bad,-0.6999999999999998
share,poor,-0.4
optimisation,new,0.13636363636363635
story,great,0.8
time,sure,0.5
place,great,0.8
thing,good,0.7
shoot,run,0.0
bug,weekly,0.0
studio,good,0.7
soap,shepherd,0.0
multiplayer,fine,0.4166666666666667
garage,worth,0.3
hour,navigable,0.0
season,sure,0.5
time,small,-0.25
enjoy,good,0.7
word,first,0.25
gun,crazy,-0.6
state,first,0.25
release,first,0.25
season,negative,-0.3
banner,rare,0.3
bag,corporate,0.0
thing,well,0.0
lot,equivalent,0.0
spammultiplayer,armed,0.0
battle,full,0.35
multiplayer,unplayable,-0.4
experience,enjoyable,0.5
structure,unique,0.375
wish,whole,0.2
banner,otherwise good,0.7
step,bad,-0.6999999999999998
gun,great,0.8
place,kind,0.6
stir,hard,-0.2916666666666667
server,last,0.0
people,exceptionally good,0.7
player,average,-0.15
player,great,0.8
issue,cosmetic,0.0
state,worth,0.3
fix,hot,0.25
map,good,0.7
war,shorter,0.0
design,pretty solid,0.125
finish,polished,0.0
map,good,0.7
experience,fast,0.2
tree,hard,-0.2916666666666667
pattern,horrible,-1.0
campaign,worthwhile,0.5
grind,current,0.0
warne,quite,0.0
feature,frequent,0.1
change,due,-0.125
spur,old,0.1
pawn,predictable,-0.2
crack,rife,0.0
player,fun,0.3
part,bad,-0.6999999999999998
skin,appropriate,0.5
cod,next,0.0
hope,dogshit,0.0
fun,mad,-0.625
time,single,-0.07142857142857142
ability,polish,0.0
team,old,0.1
gunplay,fantastic,0.4
cliffhanger,nice,0.6
problem,typical,-0.16666666666666666
conceal,really slow,-0.30000000000000004
voice,good,0.7
price,greedy,0.0
uninteresting,possible,0.0
put,small,-0.25
cod,bad,-0.6999999999999998
people,nominally bad,-0.6999999999999998
round,mute,0.0
publisher,single,-0.07142857142857142
people,black,-0.16666666666666666
blow,clean,0.3666666666666667
people,standard,0.0
core,good,0.7
multiplayer,black,-0.16666666666666666
campaign,bad,-0.6999999999999998
difficulty,lackluster,0.0
connect,boring,-1.0
head,many,0.5
half,armed,0.0
time,soft,0.1
multiplayer,double,0.0
gun,much quick,0.3333333333333333
people,onehit,0.0
player,second,0.0
tag,definitely worth,0.3
content,least,-0.3
cause,worth,0.3
activision,technical,0.0
fun,different,0.0
time,good,0.7
love,able,0.5
content,lacking,0.0
game,even similar,0.0
time,wrong,-0.5
gun,good,0.7
fact,regular,0.0
friend,damn,0.0
kiss,less,-0.16666666666666666
slide,untargetable,0.0
fun,last,0.0
mission,worth,0.3
button,great,0.8
experience,long,-0.05
bag,happy,0.8
year,much,0.2
issue,really nice,0.6
gameplaygarbage,nice,0.6
ruin,constantly impossible,-0.6666666666666666
people,seemingly unfixable,0.0
gun,bad,-0.6999999999999998
crash,mad,-0.625
multiplayer,overall,0.0
life,worth,0.3
player,false,-0.4000000000000001
sale,full,0.35
point,pretty unplayable,-0.07500000000000001
binding,useless,-0.5
game,unfinished,0.0
system,horrible,-1.0
kiss,full,0.35
fix,due,-0.125
think,worth,0.3
ghost,private,0.0
map,also bad,-0.6999999999999998
stitch,extra,0.0
guy,precise,0.4
u,useless,-0.5
selection,straight,0.2
corner,rapid,0.0
freeze,good,0.7
horsepower,even lower,0.0
tournament,strong,0.4333333333333333
tax,next,0.0
reason,important,0.4
company,fast possible,0.1
people,unburned,0.0
content,past,-0.25
multiplayer,stroud,0.0
head,long,-0.05
player,fun,0.3
assist,unfair,-0.5
gun,bad,-0.6999999999999998
fun,super cool,0.3416666666666667
college,worth,0.3
gun,horrible,-1.0
ruin,bad,-0.6999999999999998
singer,long,-0.05
sale,worth,0.3
team,huge,0.4000000000000001
sinceeven,white,0.0
experience,current,0.0
company,even normally worth,0.3
corner,sure,0.5
clash,really annoying,-0.8
review,bad,-0.6999999999999998
place,right,0.2857142857142857
love,good,0.7
tank,rug,0.0
file,resect,0.0
help,official,0.0
cord,last,0.0
person,major,0.0625
point,horrible,-1.0
streak,entire,0.0
youtuber,shorter,0.0
mess,social,0.03333333333333333
glance,first,0.25
effect,good,0.7
gold,definitely worth,0.3
system,excessive,-0.25
death,barely complete,0.1
promise,battlepass,0.0
fun,heavy,-0.2
gun,incredible,0.9
layer,sometimes entirely invisible,0.0
issue,really obvious,0.0
use,green,-0.2
hope,future,0.0
warfare,worth,0.3
pattern,rather present,0.0
setting,especially epic,0.2
series,really necessary,0.0
truth,good,0.7
ward,still huge,0.4000000000000001
release,happy,0.8
people,really good,0.7
map,common,-0.3
access,first,0.25
campaign,good,0.7
mission,impatient,-0.2
anna,worth,0.3
list,select,0.0
fact,crazy,-0.6
word,exact,0.25
play,right,0.2857142857142857
change,good,0.7
drill,amazing,0.6000000000000001
pistol,even outside,0.0
progression,needlessly annoying,-0.8
content,unnessecary,0.0
none,worthwhile,0.5
game,next,0.0
piece,set,0.0
movie,military,-0.1
fence,compete,0.0
warne,horrible,-1.0
issue,sure,0.5
warrant,hot,0.25
friend,numerous,0.0
people,honestly dogshit,0.6
trash,utter,0.0
blow,straight,0.2
lot,ragefest,0.0
time,well,0.0
review,even still fun,0.3
policy,much,0.2
campaign,single,-0.07142857142857142
campaign,worth,0.3
issue,offensive,0.0
time,inoffensivekilt,0.0
name,pretty petty,0.25
activision,helpful,0.0
company,hot,0.25
progression,despicable,0.0
map,normal,0.15
point,old,0.1
fun,long,-0.05
host,fail,-0.5
match,right,0.2857142857142857
thatdont,full,0.35
player,close,0.0
user,incredible,0.9
script,plain,-0.21428571428571427
job,good,0.7
gunplay,lunatic,0.0
dog,legal,0.2
achievement,solid,0.0
control,visual,0.0
fuck,also false,-0.4000000000000001
people,old,0.1
son,less,-0.16666666666666666
account,see,0.0
wife,good,0.7
wisecon,good,0.7
gameplay,current,0.0
state,current,0.0
investment,broken,-0.4
beta,quite bad,-0.6999999999999998
map,pretty mediocre,-0.125
detail,last,0.0
fun,good,0.7
love,unfinished,0.0
interface,navigable,0.0
smhconnection,multiple,0.0
issue,whole,0.2
library,hideous,0.0
love,many,0.5
death,single,-0.07142857142857142
button,naked,0.0
arrive,exciting,0.3
people,frequent,0.1
issue,mainly centre,0.16666666666666666
people,worth,0.3
game,much,0.2
man,military,-0.1
shooting,somewhat smooth,0.4
gameplay,slow,-0.30000000000000004
gun,long,-0.05
play,worth,0.3
love,online,0.0
flash,white,0.0
decade,different,0.0
consent,fucking,-0.6
hit,half,-0.16666666666666666
campaign,great,0.8
people,possible,0.0
video,countless,0.0
people,able,0.5
masse,lonely,-0.09999999999999998
crash,good,0.7
people,extra,0.0
campaign,perfect,1.0
franchise,stale,-0.5
cod,complete,0.1
warne,first,0.25
insane,terrible,-1.0
gameplay,really fun,0.3
state,technical,0.0
bethesda,polished,0.0
play,half,-0.16666666666666666
mode,single,-0.07142857142857142
bullet,disgraceful,0.0
time,right,0.2857142857142857
thing,random,-0.5
issue,various,0.0
game,bad,-0.6999999999999998
system,pretty cool,0.3
stitch,warm,0.6
mode,new,0.13636363636363635
game,fair,0.7
decide,blatantly absent,-0.5
point,political,0.0
lot,whole,0.2
ear,uniform,0.0
break,solid,0.0
mission,actually pretty solid,0.125
thing,well,0.0
people,incomplete,0.0
